ID_TEST;TEST_ENGLISH;TEST_FRANCAIS
Jour1_1;My day was awful today lil cat;Ma journée <color=red> était bien nulle ajd petit chat
Jour1_2;shitty kittyg, i got all the detritus on me >:(;chag de merde g tous les détritus sur moig
Jour1_3;yes why not breaking the croute after all???;oui pourquoi pas casser la croute
Jour1_4;pétarg, what a cute cat, i want to caresser it UwU;pétarg, ilétromignong ce chag, je le carresse UwU
;;
;;
;;
;;
Jour_1_1;Foosteps coming closer;a
Jour_1_2;Keys jiggling;a
Jour_1_3;Keys turning in the door;a
Jour_1_4;Door opening;a
Jour_1_5;Sigh…;a
Jour_1_6;Oh, Milo. How are you doing, my boy?;a
Jour_1_7;Awww, purring for me? I guess you had a good day at home.;a
Jour_1_8;Sigh... Knowing you I’m going to find cat’s hair on my clothes again since I left them on my bed this morning.;a
Jour_1_9;Well, it doesn’t matter, we’re home now, let’s go eat.;a
Jour_1_10;What? Why meow? Are you hungry again? But your bowl was full at noon? Let me see…;a
Jour_1_11;Oh yes, you ate it all like the little glutton you are.;a
Jour_1_12;Heeeere you go, you can eat now.;a
Jour_1_13;Licking your fur, I see. Are you making yourself all pretty for me?;a
Jour_1_14;I surely hope so because I’m coming back from the supermarket, and I bought you some treats!;a
Jour_1_15;What are you doing? You’re eating my calathea??;a
Jour_1_16;Milo, no! Stop it! Bad cat!;a
Jour_1_17;I already struggled enough today for you to do this.;a
Jour_1_18;I’m not even going to start talking about what Miss Penrose did during my shift.;a
Jour_1_19;Here, eat your toy instead.;a
Jour_1_20;Wow, why are you not happy? Did you miss me?;a
Jour_1_21;Dad was with you this afternoon though, you like him so why are you meowing like that?;a
Jour_1_22;Mhhh, I know wait a second.;a
Jour_1_23;Rumbling in a plastic bag;a
Jour_1_24;Here you go, a treat for you.;a
Jour_1_25;It is salmon flavored, your favorite.;a
;;
;;
;;
;;
;;
;;
Jour_2_1;Hello! I’d like to order sushi please! ... Yes... Can I get a huuuh;a
Jour_2_2;Oops! *laughs* -  feeling cuddly today huh? -No no not you sir it’s just my cat hahah;a
Jour_2_3;Could I get aaaaaa...number 9 please?.... Ok great! 20 minutes? Awesome! Thank you;a
Jour_2_4;You’re hungry too huh? Ok, ok, let me get you something after I order my meal!;a
Jour_2_5;Let me see... Let’s get a a number 7 today, I’ve been craving some tuna sushi lately.;a
Jour_2_6;Ok great! 20 minutes? Awesome! Thank you so much, bye.;a
Jour_2_7;*scratches the sofa with the claws*;a
Jour_2_8;Oh god! No no no! Bad cat! I won’t give you treats anymore if you keep acting like this!!!;a
Jour_2_9;I’m really sorry about that, my cat started acting up.;a
Jour_2_10;I’ll get a number 8 please. Ok great! 20 minutes? Awesome! Thank you so much, bye.;a
Jour_2_11;*meows back at you* I meow you too Milo;a
Jour_2_12; I'd like to order  a number 7 today, I’ve been craving some tuna sushi lately.;a
Jour_2_13;Ok great! 20 minutes? Awesome! Thank you so much, bye.;a
Jour_2_14;Whoah whoah Milo why are you screaming like that?;a
Jour_2_15;You need to chill dude!;a
Jour_2_16;Sorry about that, I’ll get a number 8, please.;a
Jour_2_17;Ok great! 20 minutes? Awesome! Thank you so much, bye.;a
Jour_2_18;*Sigh* licking yourself today aswell huh?;a
Jour_2_19;Alright well you do your own thing then…;a
Jour_2_20;I think I’ll get a number 6 today! Haven’t that in a while…;a
Jour_2_21;Ok great! 20 minutes? Awesome! Thank you so much, bye.;a
Jour_2_22;Aww purring again Milo? I’m glad youre enjoying this place.;a
Jour_2_23;Benji and Lena helped out a lot when it came to the decorations of the house…;a
Jour_2_24;They are so nice, i really love them;a
Jour_2_25;I think I’ll get a number 6 today! Haven’t had that in a while... ;a
Jour_2_26;Ok great! 20 minutes? Awesome! Thank you so much, bye. ;a
;;
Jour_2_27;Ugh *Sighs* I love studying, but I can’t seem to wrap my head around this Fallen Angels analysis…;a
Jour_2_28;I get the loneliness and loss themes, but I don't see where the love is here…;a
Jour_2_29;What did Wong Kar-Wai possibly try to show us?;a
Jour_2_30;You don’t get it either, do you? *Sighs* well at least we got each other;a
Jour_2_31;And that's reassuring, isn't it my kitty?;a
Jour_2_32;Well, at least you understand sleep, don’t you?;a
Jour_2_33;Urgh, I wish I’d just be a cat, just eat and sleep all day, that’s the real dream.;a
Jour_2_34;Not feeling like helping me huh?;a
Jour_2_35;I guess you probably have better things to do;a
Jour_2_36;than to help me understand the complex narrative and philosophic undertones of a 25-year-old movie…;a
Jour_2_37;Meh, I can’t blame you for that.;a
Jour_2_38;*Laughs* *imitates radio noise*;a
Jour_2_39;Krr krr Snake? .... Snake?! SNAAAAAKE!;a
Jour_2_40;*Chuckles* I love this game.;a
Jour_2_41;Oh god, NO! No, no, no! Milo, bad cat! I don’t understand why you insist on eating that cardboard.;a
Jour_2_42;"It's like the third time this week, I’ve told you already; it's. Not. Food!!";a
;;
;;
;;
;;
;;
;;
Jour_3_1;Oh, hi kitty, didn’t see you there ;a
